odds_cap,delta_threshold,total_trades,wins,losses,max_losing_streak,base_bet,final_bank,profit,roi,bankrupt
2.8,400,0,0,0,0,0,1000,,,0
2.9,50,60,43,17,2,142,4894,,,0
2.9,100,35,25,10,4,32,1582,,,0
2.9,150,9,8,1,1,333,2998,,,0
2.9,200,3,3,0,0,1000,2720,,,0
2.9,250,0,0,0,0,0,1000,,,0
2.9,300,0,0,0,0,0,1000,,,0
2.9,350,0,0,0,0,0,1000,,,0
2.9,400,0,0,0,0,0,1000,,,0
3.0,50,61,43,18,2,142,4811,,,0
3.0,100,36,25,11,4,32,1579,,,0
3.0,150,9,8,1,1,333,2998,,,0
3.0,200,3,3,0,0,1000,2720,,,0
3.0,250,0,0,0,0,0,1000,,,0
3.0,300,0,0,0,0,0,1000,,,0
3.0,350,0,0,0,0,0,1000,,,0
3.0,400,0,0,0,0,0,1000,,,0
3.1,50,61,43,18,2,142,4811,,,0
3.1,100,36,25,11,4,32,1579,,,0
3.1,150,9,8,1,1,333,2998,,,0
3.1,200,3,3,0,0,1000,2720,,,0
3.1,250,0,0,0,0,0,1000,,,0
3.1,300,0,0,0,0,0,1000,,,0
3.1,350,0,0,0,0,0,1000,,,0
3.1,400,0,0,0,0,0,1000,,,0
3.2,50,62,43,19,2,142,4655,,,0
3.2,100,36,25,11,4,32,1579,,,0
3.2,150,9,8,1,1,333,2998,,,0
3.2,200,3,3,0,0,1000,2720,,,0
3.2,250,0,0,0,0,0,1000,,,0
3.2,300,0,0,0,0,0,1000,,,0
3.2,350,0,0,0,0,0,1000,,,0
3.2,400,0,0,0,0,0,1000,,,0
3.3,50,62,43,19,2,142,4655,,,0
3.3,100,36,25,11,4,32,1579,,,0
3.3,150,9,8,1,1,333,2998,,,0
3.3,200,3,3,0,0,1000,2720,,,0
3.3,250,0,0,0,0,0,1000,,,0
3.3,300,0,0,0,0,0,1000,,,0
3.3,350,0,0,0,0,0,1000,,,0
3.3,400,0,0,0,0,0,1000,,,0
3.4,50,62,43,19,2,142,4655,,,0
3.4,100,36,25,11,4,32,1579,,,0
3.4,150,9,8,1,1,333,2998,,,0
3.4,200,3,3,0,0,1000,2720,,,0
3.4,250,0,0,0,0,0,1000,,,0
3.4,300,0,0,0,0,0,1000,,,0
3.4,350,0,0,0,0,0,1000,,,0
3.4,400,0,0,0,0,0,1000,,,0
3.5,50,62,43,19,2,142,4655,,,0
3.5,100,36,25,11,4,32,1579,,,0
3.5,150,9,8,1,1,333,2998,,,0
3.5,200,3,3,0,0,1000,2720,,,0
3.5,250,0,0,0,0,0,1000,,,0
