odds_cap,delta_threshold,total_trades,wins,losses,max_losing_streak,base_bet,final_bank,profit,roi,bankrupt
2.8,200,1341,1246,95,2,142,110349,,,0
2.8,250,538,521,17,2,142,46713,,,0
2.8,300,193,190,3,1,333,39628,,,0
2.8,350,62,60,2,1,333,13284,,,0
2.8,400,19,18,1,1,333,4596,,,0
2.9,50,9862,7761,2101,5,15,69803,,,0
2.9,100,5779,4883,896,4,32,97876,,,0
2.9,150,3023,2704,319,3,66,114876,,,0
2.9,200,1361,1264,97,2,142,115012,,,0
2.9,250,544,527,17,2,142,48249,,,0
2.9,300,196,193,3,1,333,41430,,,0
2.9,350,62,60,2,1,333,13284,,,0
2.9,400,19,18,1,1,333,4596,,,0
3.0,50,9987,7835,2152,5,15,71697,,,0
3.0,100,5849,4930,919,4,32,100689,,,0
3.0,150,3055,2729,326,3,66,117843,,,0
3.0,200,1375,1275,100,2,142,117816,,,0
3.0,250,548,531,17,2,142,49351,,,0
3.0,300,198,195,3,1,333,42718,,,0
3.0,350,63,61,2,1,333,13930,,,0
3.0,400,20,19,1,1,333,5242,,,0
3.1,50,10063,7870,2193,5,15,72573,,,0
3.1,100,5896,4952,944,4,32,102003,,,0
3.1,150,3081,2742,339,3,66,119450,,,0
3.1,200,1386,1281,105,2,142,119469,,,0
3.1,250,552,534,18,2,142,50122,,,0
3.1,300,200,196,4,1,333,43331,,,0
3.1,350,63,61,2,1,333,13930,,,0
3.1,400,20,19,1,1,333,5242,,,0
3.2,50,10167,7926,2241,5,15,74330,,,0
3.2,100,5960,4991,969,4,32,104452,,,0
3.2,150,3116,2767,349,3,66,123044,,,0
3.2,200,1401,1293,108,2,142,123075,,,0
3.2,250,554,536,18,2,142,50726,,,0
3.2,300,202,198,4,1,333,44746,,,0
3.2,350,64,62,2,1,333,14646,,,0
3.2,400,20,19,1,1,333,5242,,,0
3.3,50,10274,7986,2288,5,15,76364,,,0
3.3,100,6012,5022,990,4,32,106479,,,0
3.3,150,3143,2786,357,3,66,125855,,,0
3.3,200,1410,1300,110,2,142,125071,,,0
3.3,250,557,539,18,2,142,51663,,,0
3.3,300,203,199,4,1,333,45479,,,0
3.3,350,64,62,2,1,333,14646,,,0
3.3,400,20,19,1,1,333,5242,,,0
3.4,50,10352,8024,2328,5,15,77609,,,0
