metric,threshold,bets,wins,losses,final_bankroll,profit,total_staked,roi,max_stake,max_drawdown
WR_DELTA,5,3856,3088,768,4579.30,3579.30,20355.00,0.1758,40.00,62.75
WR_DELTA,10,3853,3086,767,4579.65,3579.65,20340.00,0.1760,40.00,62.75
WR_DELTA,15,3849,3082,767,4557.75,3557.75,20370.00,0.1747,40.00,62.75
WR_DELTA,20,3840,3075,765,4552.50,3552.50,20320.00,0.1748,40.00,62.75
WR_DELTA,25,3834,3069,765,4535.10,3535.10,20290.00,0.1742,40.00,62.75
WR_DELTA,30,3824,3062,762,4530.20,3530.20,20240.00,0.1744,40.00,62.75
WR_DELTA,35,3808,3050,758,4513.35,3513.35,20170.00,0.1742,40.00,62.75
WR_DELTA,40,3780,3028,752,4487.20,3487.20,20010.00,0.1743,40.00,62.75
WR_DELTA,45,3738,3001,737,4492.95,3492.95,19755.00,0.1768,40.00,62.75
WR_DELTA,50,3697,2971,726,4472.00,3472.00,19555.00,0.1776,40.00,62.75
WR_DELTA,75,3368,2733,635,4328.85,3328.85,17685.00,0.1882,40.00,62.75
WR_DELTA,100,2756,2272,484,3969.00,2969.00,14265.00,0.2081,25.00,36.20
WR_DELTA,125,2032,1687,345,3270.65,2270.65,10480.00,0.2167,15.00,25.60
WR_DELTA,150,1407,1188,219,2658.05,1658.05,7225.00,0.2295,15.00,27.45
WR_DELTA,200,540,467,73,1705.30,705.30,2755.00,0.2560,10.00,18.50
WR_DELTA,250,168,150,18,1233.90,233.90,845.00,0.2768,10.00,10.00
WR_DELTA,300,44,40,4,1070.10,70.10,220.00,0.3186,5.00,5.00
WR_DELTA,350,12,12,0,1026.05,26.05,60.00,0.4342,5.00,0.00
WR_DELTA,400,3,3,0,1007.00,7.00,15.00,0.4667,5.00,0.00
