odds_cap,delta_threshold,total_trades,wins,losses,max_losing_streak,base_bet,final_bank,profit,roi,bankrupt
2.8,200,1707,1395,312,4,32,27661,,,0
2.8,250,678,567,111,3,66,22880,,,0
2.8,300,241,212,29,2,142,20744,,,0
2.8,350,69,61,8,2,142,6917,,,0
2.8,400,20,18,2,1,333,650,,,1
2.9,50,13473,9456,4017,9,0,1000,,,1
2.9,100,7819,5751,2068,7,3,10865,,,0
2.9,150,3953,3062,891,5,15,421,,,1
2.9,200,1729,1409,320,5,15,13851,,,0
2.9,250,686,573,113,3,66,23478,,,0
2.9,300,247,218,29,2,142,22282,,,0
2.9,350,70,62,8,2,142,7174,,,0
2.9,400,20,18,2,1,333,650,,,1
3.0,50,13639,9538,4101,9,0,1000,,,1
3.0,100,7904,5796,2108,7,3,11057,,,0
3.0,150,3991,3081,910,6,7,13316,,,0
3.0,200,1746,1418,328,5,15,14247,,,0
3.0,250,693,578,115,3,66,23970,,,0
3.0,300,249,219,30,2,142,22455,,,0
3.0,350,71,62,9,2,142,7245,,,0
3.0,400,20,18,2,1,333,650,,,1
3.1,50,13746,9581,4165,9,0,1000,,,1
3.1,100,7969,5828,2141,7,3,11174,,,0
3.1,150,4020,3095,925,6,7,13417,,,0
3.1,200,1760,1423,337,6,7,7246,,,0
3.1,250,695,578,117,3,66,23918,,,0
3.1,300,250,219,31,2,142,22424,,,0
3.1,350,72,62,10,2,142,7214,,,0
3.1,400,20,18,2,1,333,650,,,1
3.2,50,13869,9633,4236,9,0,1000,,,1
3.2,100,8046,5863,2183,7,3,11339,,,0
3.2,150,4060,3114,946,6,7,13572,,,0
3.2,200,1777,1434,343,6,7,7417,,,0
3.2,250,699,580,119,3,66,24172,,,0
3.2,300,250,219,31,2,142,22424,,,0
3.2,350,72,62,10,2,142,7214,,,0
3.2,400,20,18,2,1,333,650,,,1
3.3,50,13980,9687,4293,9,0,1000,,,1
3.3,100,8111,5898,2213,7,3,11450,,,0
3.3,150,4094,3134,960,6,7,13987,,,0
3.3,200,1793,1445,348,6,7,7563,,,0
3.3,250,705,584,121,3,66,24671,,,0
3.3,300,252,220,32,2,142,22644,,,0
3.3,350,72,62,10,2,142,7214,,,0
3.3,400,20,18,2,1,333,650,,,1
3.4,50,14097,9733,4364,9,0,1000,,,1
3.4,100,8170,5921,2249,7,3,11541,,,0
3.4,150,4122,3149,973,6,7,14257,,,0
3.4,200,1810,1455,355,6,7,7708,,,0
3.4,250,717,590,127,3,66,25347,,,0
3.4,300,260,225,35,2,142,24059,,,0
3.4,350,77,67,10,2,142,8872,,,0
3.4,400,21,19,2,1,333,650,,,1
3.5,50,14169,9757,4412,9,0,1000,,,1
3.5,100,8203,5936,2267,7,3,11635,,,0
3.5,150,4133,3152,981,6,7,14287,,,0
3.5,200,1818,1457,361,6,7,7733,,,0
3.5,250,722,592,130,4,32,12614,,,0
3.5,300,262,225,37,2,142,23815,,,0
3.5,350,77,67,10,2,142,8872,,,0
3.5,400,21,19,2,1,333,650,,,1
3.6,50,14236,9785,4451,8,1,6510,,,0
3.6,100,8231,5951,2280,7,3,11771,,,0
3.6,150,4144,3157,987,6,7,14297,,,0
3.6,200,1823,1458,365,6,7,7668,,,0
3.6,250,724,592,132,4,32,12563,,,0
3.6,300,263,225,38,2,142,23738,,,0
3.6,350,77,67,10,2,142,8872,,,0
3.6,400,21,19,2,1,333,650,,,1
3.7,50,14283,9802,4481,8,1,6531,,,0
3.7,100,8253,5960,2293,7,3,11874,,,0
3.7,150,4152,3159,993,6,7,14308,,,0
3.7,200,1826,1459,367,6,7,7672,,,0
3.7,250,726,592,134,4,32,12536,,,0
3.7,300,263,225,38,2,142,23738,,,0
3.7,350,77,67,10,2,142,8872,,,0
3.7,400,21,19,2,1,333,650,,,1
3.8,50,14340,9834,4506,8,1,6658,,,0
3.8,100,8288,5979,2309,7,3,12165,,,0
3.8,150,4169,3172,997,6,7,14580,,,0
3.8,200,1831,1463,368,6,7,7744,,,0
3.8,250,728,594,134,4,32,12744,,,0
3.8,300,264,226,38,2,142,24129,,,0
3.8,350,77,67,10,2,142,8872,,,0
3.8,400,21,19,2,1,333,650,,,1
3.9,50,14417,9860,4557,8,1,6708,,,0
3.9,100,8323,5990,2333,7,3,12207,,,0
3.9,150,4181,3176,1005,6,7,14653,,,0
3.9,200,1833,1463,370,6,7,7740,,,0
3.9,250,729,594,135,4,32,12721,,,0
3.9,300,264,226,38,2,142,24129,,,0
3.9,350,77,67,10,2,142,8872,,,0
3.9,400,21,19,2,1,333,650,,,1
4.0,50,14448,9874,4574,8,1,6755,,,0
4.0,100,8335,5996,2339,7,3,12212,,,0
4.0,150,4185,3179,1006,6,7,14711,,,0
4.0,200,1836,1465,371,6,7,7773,,,0
4.0,250,731,595,136,5,15,6375,,,0
4.0,300,265,227,38,2,142,24549,,,0
4.0,350,77,67,10,2,142,8872,,,0
4.0,400,21,19,2,1,333,650,,,1
